DOI,Title,Summary,Tags,Year,Organization,Country,Language,PDF_Link
10.1016/j.clinthera.2019.05.018,A Study on the Application and Use of Artificial Intelligence to Support Drug Development,Survey on AI adoption in pharmaceutical R&D across institutions.,"AI in drug development, pharma",2019,Clinical Therapeutics,USA,English,https://sci-hub.se/10.1016/j.clinthera.2019.05.018
10.1007/s40319-018-00773-x,Artificial Intelligence and Collusion,Explores how AI may facilitate tacit collusion; analyzes legal/policy implications.,"AI, competition law, collusion",2019,IIC,Germany,English,https://sci-hub.se/10.1007/s40319-018-00773-x
10.1109/TKDE.2015.2399298,Disease Inference from Health-Related Questions via Sparse Deep Learning,Examines bias learned via deep learning from unstructured health queries.,"deep learning, health informatics, bias",2015,IEEE TKDE,USA,English,https://sci-hub.se/10.1109/TKDE.2015.2399298
10.1038/srep24454,Computer-Aided Diagnosis with Deep Learning Architecture: Applications to Breast Lesion in US Images and Pulmonary Nodule in CT Scans,Study of DL-based CAD to distinguish benign/malignant lesions in ultrasound and CT.,"deep learning, CAD, medical imaging",2016,Scientific Reports,UK,English,http://sci-hub.se/10.1038/srep24454
10.1016/j.eswa.2015.10.015,Breast Cancer Classification Using Deep Belief Network,CAD scheme using DBN - a NN on the Wisconsin dataset for breast cancer detection.,"deep belief network, CAD, breast cancer",2016,Expert Systems with Applications,Egypt,English,http://sci-hub.se/10.1016/j.eswa.2015.10.015
10.1038/d41586-018-04602-6,Regulate Artificial Intelligence to Avert Cyber Arms Race,Editorial advocating for AI regulation to prevent cyber conflict escalation.,"AI, cybersecurity, policy, ethics",2018,Nature,UK,English,http://sci-hub.se/10.1038/d41586-018-04602-6
10.1038/s42256-019-0109-1,Battling Artificial Intelligence in Cybersecurity: A Double-Edged Sword,Reflects on AI’s dual potential to protect and compromise security.,"AI, cybersecurity, ethics",2019,Nature Machine Intelligence,UK,English,http://sci-hub.se/10.1038/s42256-019-0109-1
10.1016/j.media.2017.07.005,A Survey on Deep Learning in Medical Image Analysis,Reviews 300+ DL applications in medical imaging.,"deep learning, medical imaging, survey",2017,Medical Image Analysis,Netherlands,English,http://sci-hub.se/10.1016/j.media.2017.07.005
10.1146/annurev-bioeng-071516-044442,Deep Learning in Medical Image Analysis,Reviews deep learning foundations and applications in medical imaging.,"deep learning, medical imaging",2017,Annual Review of Biomedical Engineering,UK,English,http://sci-hub.se/10.1146/annurev-bioeng-071516-044442
10.1109/EMBC.2015.7319008,"A Comparative Study for Chest Radiograph Image Retrieval using Binary, Texture and Deep Learning Classification",Compare chest X-ray retrieval using different classification methods.,"Chest X-ray, image retrieval, deep learning",2015,IEEE EMBC,UK,English,http://sci-hub.se/10.1109/EMBC.2015.7319008
10.1109/TMI.2016.2535865,Using Dense Convolutional Networks for Interstitial Lung Diseases,Classifies lung diseases with DCN.,"deep learning, ILD, medical imaging",2016,IEEE Transactions on Medical Imaging,UK,English,http://sci-hub.se/10.1109/TMI.2016.2535865
10.1109/ISBI.2016.7493349,Multi-Loss Convolutional Networks for Gland Analysis in Microscopy,Proposes CNN architecture with multiple loss functions to improve gland segmentation in histopathology images.,"deep learning, gland segmentation, histopathology, microscopy",2016,IEEE ISBI,UK,English,http://sci-hub.se/10.1109/ISBI.2016.7493349
10.1097/RLI.0000000000000341,Training and Validating a Deep Convolutional Neural Network for Computer-Aided Detection and Classification of Abnormalities on Chest Radiographs,CAD trained and validated on a large dataset. Deep CNN used to read chest X-rays and classify abnormalities.,"deep learning, chest radiography, CNN classification",2017,Investigative Radiology,Canada,English,http://sci-hub.se/10.1097/RLI.0000000000000341
10.1109/TMI.2015.2508280,Densely-Connected Prostate Segmentation via Deep Feature Learning and Sparse Patch Matching,Proposes an ML prostate segmentation method combining deep feature learning with sparse patch matching.,"deep learning, prostate segmentation, MU",2015,IEEE Transactions on Medical Imaging,UK,English,http://sci-hub.se/10.1109/TMI.2015.2508280
10.1016/j.media.2016.05.004,Brain tumor segmentation with Deep Neural Networks,Medical Image Analysis article on DNN methods for tumor segmentation.,"medical imaging, deep learning",2016,Medical Image Analysis,Canada,English,http://sci-hub.se/10.1016/j.media.2016.05.004
10.1088/1748-9326/11/4/044005,Anthropogenic Climate Change Affects Meteorological Drought Risk in Europe,Investigates how human-induced climate change has altered drought risk across Europe.,"climate change, drought risk, attribution",2016,Environmental Research Letters,Switzerland,English,http://sci-hub.se/10.1088/1748-9326/11/4/044005
10.1155/2015/361687,Climate Change and the New Normal for Air Quality,Reviews climate change's impact on respiratory health.,"climate change, health impacts, respiratory",2015,Canadian Respiratory,Canada,English,http://sci-hub.se/10.1155/2015/361687
10.1073/pnas.1812881116,Impacts of Climate Change on Future Air Quality and Human Health in China,Links climate events to air pollution and health risks.,"climate change, air quality, health",2019,PNAS,USA,English,http://sci-hub.se/10.1073/pnas.1812881116
10.1093/bmb/ldz011,Health impact of climate change in cities of middle-income countries: the case of China,"Review of climate-change health impacts in Chinese cities (heat, rainfall, sea-level rise, extreme weather) and implications for similar middle-income settings.","climate change, public health, China, urban health",2019,British Medical Bulletin (OUP),UK,English,https://sci-hub.se/10.1093/bmb/ldz011
10.1111/gcbb.12205,Bioenergy and climate change mitigation: an assessment,"Cross-disciplinary assessment of bioenergy’s mitigation potential, risks, sustainability, and BECCS pathways.","bioenergy, climate mitigation, BECCS, sustainability",2015,GCB Bioenergy (Wiley),UK,English,https://sci-hub.se/10.1111/gcbb.12205
10.1090/mcom/3081,Projection methods for large-scale T-Sylvester equations,Efficient Krylov-based projection methods to solve large T-Sylvester matrix equations arising in control and PDEs.,"numerical linear algebra, Sylvester equations, Krylov methods",2016,Mathematics of Computation (AMS),USA,English,https://sci-hub.se/10.1090/mcom/3081
10.21136/AM.2019.0031-19,A posteriori error estimates for stabilized finite element approximations of the Navier–Stokes equations,A posteriori error estimates for stabilized FEM solutions of Navier–Stokes; analysis and applications.,"finite elements, Navier–Stokes, a posteriori error",2019,Applications of Mathematics,Czech Republic,English,https://sci-hub.se/10.21136/AM.2019.0031-19
10.1007/s11858-016-0797-5,Mathematics education and machine learning,Editorial on opportunities and caveats at the math-education/ML interface.,"mathematics education, machine learning, pedagogy",2016,ZDM – Mathematics Education (Springer),Germany,English,https://link.springer.com/content/pdf/10.1007%2Fs11858-016-0797-5.pdf
10.3390/math4010019,A Review of Machine Learning in Mathematical Modeling,Review of ML techniques supporting mathematical modeling problems; open access.,"machine learning, mathematical modeling, review",2016,Mathematics (MDPI),Switzerland,English,https://www.mdpi.com/2227-7390/4/1/19/pdf
10.1007/s10958-016-3004-x,On some problems of mathematical education,Survey-style article (translation issue) on questions in mathematics education.,"mathematics education, survey",2016,Journal of Mathematical Sciences (Springer),Germany,English,https://sci-hub.se/10.1007/s10958-016-3004-x
10.1039/C9RP90006C,Influencing the practice of chemistry education,Editorial on translating chemistry-education research into classroom practice; open access.,"chemistry education, practice, editorial",2019,Chemistry Education Research and Practice (RSC),UK,English,https://pubs.rsc.org/en/content/articlepdf/2019/rp/c9rp90006c
10.1039/C9SC02834J,Accurate quantum chemical energies for 133 000 organic molecules,Provides G4MP2 benchmark energies for the GDB-9 set; useful dataset for ML and thermochemistry.,"quantum chemistry, G4MP2, datasets, machine learning",2019,Chemical Science (RSC),UK,English,https://pubs.rsc.org/en/content/articlepdf/2019/sc/c9sc02834j
10.1038/nnano.2016.207,The role of nanotechnology in the development of battery materials for electric vehicles,"Review of how nanostructuring improves EV battery materials (energy density, stability, kinetics).","nanotechnology, batteries, electric vehicles, review",2016,Nature Nanotechnology,UK,English,https://sci-hub.se/10.1038/nnano.2016.207
10.1038/nature16484,A lithium–oxygen battery based on lithium superoxide,Demonstrates stabilization of crystalline LiO₂ in a Li–O₂ cell using graphene-based cathodes; implications for Li-air chemistry.,"lithium–oxygen batteries, LiO₂, energy storage",2016,Nature,UK,English,https://sci-hub.se/10.1038/nature16484
10.1126/science.aaf4767,Nanostructured transition-metal dichalcogenide electrocatalysts for CO₂ reduction in ionic liquid,TMD nanostructures catalyze electrochemical CO₂→CO efficiently in ionic liquids.,"electrocatalysis, CO₂ reduction, TMDs",2016,Science (AAAS),USA,English,https://sci-hub.se/10.1126/science.aaf4767
10.1021/cr500551h,Quantum-Chemical Characterization of the Properties and Reactivities of Metal–Organic Frameworks,"Comprehensive review of electronic-structure approaches for MOFs (structure, adsorption, catalysis, reactivity).","metal–organic frameworks, quantum chemistry, review",2015,Chemical Reviews (ACS),USA,English,https://sci-hub.se/10.1021/cr500551h
10.1063/1.4907038,Model space diabatization for quantum photochemistry,"Diabatization strategy to obtain diabatic states for photochemical problems (JCP 142, 064106).","diabatization, photochemistry, electronic structure",2015,Journal of Chemical Physics (AIP),USA,English,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4907038/14031391/064106_1_online.pdf
10.1021/cs501675t,Density Functional Theory of the Water Splitting Reaction on Transition-Metal Catalysts,DFT analysis of mechanisms and energetics for catalytic water splitting on transition-metal surfaces.,"water splitting, DFT, catalysis",2015,ACS Catalysis (ACS),USA,English,https://sci-hub.se/10.1021/cs501675t
10.1039/C5SC00408J,Sulfur-Functionalization of Metal–Organic Frameworks and Investigation of their Catalytic Activity in the Conversion of CO2,"Review on sulfur-functionalized MOFs: synthesis, characterization, catalytic applications in CO2 conversion.","MOFs, functionalization, catalysis, CO2 conversion",2015,Chemical Science (RSC),UK,English,https://sci-hub.se/10.1039/C5SC00408J
10.1039/C5SC00092K,Selective Catalytic Hydrogenation of Nitrogen-Containing Heteroaromatics with Nanoscale Co Catalysts,Co-based catalysts hydrogenate nitrogen heteroaromatics selectively under mild conditions.,"cobalt catalysis, hydrogenation, heteroaromatics",2015,Chemical Science (RSC),UK,English,https://sci-hub.se/10.1039/C5SC00092K
10.1002/chem.201582861,Light-Triggered Reversible Structural Changes in Metal–Organic Frameworks,"MOFs undergo reversible structural change upon light irradiation, providing photo-switchable functionality.","MOFs, photochemistry, structural changes",2015,Chemistry – A European Journal (Wiley–VCH),Germany,English,https://sci-hub.se/10.1002/chem.201582861
10.3390/technologies7010010,Education 4.0: Technology-Enhanced Learning in Higher Education,Review of digital technologies in education and their impact on learning outcomes.,"education, digital learning, higher education",2019,Technologies (MDPI),Switzerland,English,https://sci-hub.se/10.3390/technologies7010010
10.1097/MAT.0000000000000719,Dimensions and Influence of Hospital Physical Environments on Patients’ Well-being,Examines hospital physical environment impact on patient recovery and well-being.,"hospital design, patient recovery, well-being",2017,ASAO Journal of Materials,USA,English,https://sci-hub.se/10.1097/MAT.0000000000000719
10.1097/MAT.0000000000000457,Online Remote Monitoring of Implantable Medical Devices,Explains remote monitoring systems for implanted devices improving patient safety and care.,"remote monitoring, implantable devices",2016,ASAO Journal,English,English,https://sci-hub.se/10.1097/MAT.0000000000000457
10.1016/j.medengphy.2016.11.006,Assessment of the Rehabilitation of Stroke Patients using Wearable Sensors,Wearable sensors evaluate rehabilitation progress post-stroke.,"wearable sensors, stroke, movement",2017,Medical Engineering & Physics (Elsevier),Netherlands,English,https://sci-hub.se/10.1016/j.medengphy.2016.11.006
10.1016/j.fuel.2015.08.016,Hybrid Process for Hydrogen Production from Biomass and Methane,Proposes combination of biomass gasification and methane reforming for efficient H2 production.,"biomass gasification, hydrogen production, methane reforming",2015,Fuel (Elsevier),Netherlands,English,https://sci-hub.se/10.1016/j.fuel.2015.08.016
10.1016/j.eng.2019.09.006,Experimental Investigation of Reinforced Concrete Beams Strengthened with Steel Plates,Study demonstrates strengthened beams show significant load capacity improvements.,"structural health monitoring, steel reinforcement",2019,Engineering (Chinese Academy of Engineering),China,English,https://sci-hub.se/10.1016/j.eng.2019.09.006
10.1103/PhysRevA.92.042104,Theoretical Analysis of Quantum Measurement Backaction,Theoretical analysis of measurement-induced backaction effects in quantum systems.,"quantum mechanics, measurement theory",2015,Physical Review A (APS),USA,English,https://sci-hub.se/10.1103/PhysRevA.92.042104
10.1038/530284a,Coherent Spin Dynamics in Diamond Defects,Review of spin dynamics in NV centers for quantum computing applications.,"quantum computing, diamond defects, NV centers",2016,Nature,UK,English,https://sci-hub.se/10.1038/530284a
10.1103/PhysRevA.99.053833,Optomechanical Systems for Precision Sensing,Review of optomechanical systems and their potential for high-precision sensing.,"optomechanics, precision sensing",2019,Physical Review A (APS),USA,English,https://sci-hub.se/10.1103/PhysRevA.99.053833
10.1103/PhysRevA.100.012124,Major Current for Quantum Spin Systems,Extends the Wagner current formalism to quantum spin systems.,"Wagner current, quantum spins",2019,Physical Review A (APS),USA,English,https://sci-hub.se/10.1103/PhysRevA.100.012124
10.1088/1367-2630/18/10/103011,Many-Source Quantum Entanglement from Quantum Dots,Demonstrates multiple entangled photon emission from semiconductor quantum dots.,"quantum entanglement, quantum dots",2016,New Journal of Physics (IOP),UK,English,https://sci-hub.se/10.1088/1367-2630/18/10/103011
10.1088/1367-2630/18/10/103019,Dynamics in Quantum Entanglement,Studies entanglement evolution in quantum many-body systems.,"quantum entanglement, dynamics",2016,New Journal of Physics (IOP),UK,English,https://sci-hub.se/10.1088/1367-2630/18/10/103019
10.1088/1367-2630/18/6/065007,Two-particle Interference in Quantum Optical Systems,Simulation of two-particle interference patterns in quantum optics.,"quantum optics, interference",2016,New Journal of Physics (IOP),UK,English,https://sci-hub.se/10.1088/1367-2630/18/6/065007
10.1088/1367-2630/aa6321,Deciphering the imprint of topology on nonlinear dynamical network stability,"How network topology shapes nonlinear stability in oscillator networks (e.g., power grids).",2017,IOP Publishing,UK,English,https://sci-hub.se/10.1088/1367-2630/aa6321,
10.1103/PhysRevD.99.032014,Search for pair production of second-generation leptoquarks at √s = 13 TeV,CMS search; scalar leptoquarks below ~1.53 TeV.,2019,American Physical Society,USA,English,https://sci-hub.se/10.1103/PhysRevD.99.032014,
10.1007/JHEP04(2019)122,Measurement of the pp → WZ inclusive and differential production cross sections and constraints on charged anomalous triple gauge couplings at √s = 13 TeV,CMS measures WZ cross sections (35.9 fb⁻¹) and sets limits on anomalous triple-gauge couplings; SM-consistent.,2019,Springer,Switzerland,English,https://sci-hub.se/10.1007/JHEP04(2019)122,
10.1016/j.physletb.2019.01.072,Search for an Lμ − Lτ gauge boson using Z → 4μ events in proton–proton collisions at √s = 13 TeV,CMS Z' search using Z→4μ; sets coupling/mass limits (5–70 GeV).,2019,Elsevier,Switzerland,English,https://sci-hub.se/10.1016/j.physletb.2019.01.072,
10.1016/j.physletb.2019.07.013,A search for pair production of new light bosons decaying into muons in proton–proton collisions at 13 TeV,CMS model-independent search; limits for 0.25–8.5 GeV bosons.,2019,Elsevier,Switzerland,English,https://sci-hub.se/10.1016/j.physletb.2019.07.013,
10.1007/JHEP03(2019)026,Search for tt̄H production in the H → bb̄ decay channel with leptonic tt̄ decays in proton–proton collisions at √s = 13 TeV,CMS ttH (H→bb) analysis (35.9 fb⁻¹); sets μ; mild excess.,2019,Springer,Switzerland,English,https://sci-hub.se/10.1007/JHEP03(2019)026,
10.1007/JHEP01(2019)051,Search for heavy resonances decaying into two Higgs bosons or into a Higgs boson and a W or Z boson in proton–proton collisions at 13 TeV,CMS HH and VH resonance search; excludes masses up to ~2.7–2.8 TeV for certain models.,2019,Springer,Switzerland,English,https://sci-hub.se/10.1007/JHEP01(2019)051,
10.1103/PhysRevLett.123.192301,Measurement of Υ(1S) Elliptic Flow at Forward Rapidity in Pb-Pb Collisions at √sNN = 5.02 TeV,ALICE measures Υ(1S) v2; small values consistent with transport models.,2019,American Physical Society,Switzerland,English,https://sci-hub.se/10.1103/PhysRevLett.123.192301,
10.1016/j.physletb.2019.134926,Coherent J/ψ photoproduction at forward rapidity in ultra-peripheral Pb–Pb collisions at √sNN = 5.02 TeV,ALICE coherent J/ψ photoproduction; constrains gluon shadowing models.,2019,Elsevier,Switzerland,English,https://sci-hub.se/10.1016/j.physletb.2019.134926,
10.1140/epja/i2016-16258-y,Dilepton and φ meson production in elementary and nuclear collisions at the NICA fixed-target experiment,Perspective/review on how NICA fixed-target measurements of dileptons and φ mesons can fill the energy gap between SIS and SPS to constrain collision models.,NICA; dileptons; φ meson; heavy-ion collisions,2016,"Wigner Research Centre for Physics (authors: G. Wolf, M. Zétényi)",International,English,https://link.springer.com/article/10.1140/epja/i2016-16258-y
10.1140/epja/i2016-16257-0,Thermal electromagnetic radiation in heavy-ion collisions,Review of photons and dileptons as penetrating probes to access the electromagnetic spectral function of QCD matter across mass/momentum.,electromagnetic probes; photons; dileptons; QCD matter,2016,"Eur. Phys. J. A (R. Rapp, H. van Hees)",International,English,https://link.springer.com/content/pdf/10.1140/epja/i2016-16257-0.pdf
10.1140/epja/i2016-16029-x,Do hyperons exist in the interior of neutron stars?,"Review of the “hyperon puzzle” in neutron-star EoS, proposed resolutions, and implications of high-mass NS observations; also cooling and r-mode effects.",neutron stars; hyperons; equation of state; hyperon puzzle,2016,"EPJ A (D. Chatterjee, I. Vidaña)",International,English,https://link.springer.com/article/10.1140/epja/i2016-16029-x
10.1140/epja/i2016-16021-6,Hyperon-hyperon interactions with the Nijmegen ESC08 model,Discusses YY interactions in ESC08 with coupled-channels; BHF calculations for hypernuclear matter and neutron-star structure find low maximum masses.,hyperon-hyperon; Nijmegen ESC08; Brueckner-HF; neutron stars,2016,"EPJ A (Th. A. Rijken, H.-J. Schulze)",International,English,https://link.springer.com/article/10.1140/epja/i2016-16021-6
10.3386/w21024,Taxation and the International Mobility of Inventors,"Using inventor-panel data since 1977, shows superstar inventors’ locations respond strongly to top tax rates; estimates elasticities of domestic vs. foreign superstar counts.",taxation; inventors; mobility; superstar innovators,2015,"NBER Working Paper (Akcigit, Baslandze, Stantcheva)",International,English,https://www.nber.org/papers/w21024
10.3982/ECTA12144,"Buy, Keep, or Sell: Economic Growth and the Market for Ideas","Endogenous growth model where firms trade ideas; characterizes when firms develop, keep, or sell innovations and implications for growth.",endogenous growth; ideas market; R&D; innovation,2016,"Econometrica (Akcigit, Celik, Greenwood)",International,English,https://onlinelibrary.wiley.com/doi/10.3982/ECTA12144
10.3386/w21069,Creative Destruction and Subjective Wellbeing,Links turnover-driven growth to wellbeing across U.S. MSAs; positive effects stronger with certain industry dynamics and UI generosity.,creative destruction; wellbeing; growth; labor turnover,2015,"NBER Working Paper (Aghion, Akcigit, Deaton, Roulet)",International,English,https://www.nber.org/papers/w21069
10.1093/restud/rdy027,Innovation and Top Income Inequality,Documents strong links between measures of innovation and top income shares; explores mechanisms via firm/individual-level evidence.,inequality; innovation; patents; top incomes,2019,"Review of Economic Studies (Aghion, Akcigit, Bergeaud, Blundell, Hémous)",International,English,https://academic.oup.com/restud/article/86/1/1/5026613
10.1093/restud/rdu045,The Impact of Competition on Management Quality: Evidence from Public Hospitals,Uses plausibly exogenous variation in English hospital competition to show competition improves management quality and performance.,competition; management quality; hospitals; productivity,2015,"Review of Economic Studies (Bloom, Propper, Seiler, Van Reenen)",International,English,https://academic.oup.com/restud/article/82/2/457/1585860
10.1007/s10551-017-3700-6,Corporate Tax: What Do Stakeholders Expect?,Qualitative interviews (UK context) map expectations of community vs. business stakeholders on corporate tax responsibilities.,corporate tax; stakeholders; CSR; qualitative study,2019,"Journal of Business Ethics (Hillenbrand, Money, Brooks)",International,English,https://link.springer.com/article/10.1007/s10551-017-3700-6
10.1016/j.jebo.2019.04.026,Experience wears the trousers: Exploring gender and attitude to financial risk,Large advisory-context dataset shows women are less risk-tolerant; prior investment experience and advisor interactions help explain differences and outcomes.,gender; risk tolerance; household finance; advisors,2019,"Journal of Economic Behavior & Organization (Brooks, Sangiorgi, Hillenbrand, Money)",International,English,https://www.sciencedirect.com/science/article/pii/S0167268119301374
10.1016/j.irfa.2019.05.007,"Optimism, volatility and decision-making in stock markets",Introduces a tractable risk-decision framework incorporating optimism/pessimism; analyzes implications for trading and volatility.,behavioral finance; optimism; volatility; decision-making,2019,International Review of Financial Analysis (F. Rocciolo),International,English,https://www.sciencedirect.com/science/article/pii/S1057521918306677
10.1080/1351847X.2019.1662822,Financial data science: the birth of a new financial research paradigm complementing econometrics?,"Argues financial data science complements econometrics; warns on p-hacking and inflated power with big data; advocates integrity, pre-registration, and focusing on economic/statistical relevance.",financial data science; econometrics; big data; research integrity,2019,"The European Journal of Finance (Brooks, Hoepner, McMillan, Vivian, Wese Simen)",International,English,https://www.tandfonline.com/doi/pdf/10.1080/1351847X.2019.1662822
10.1007/s11390-016-1697-4,Special Section on Computer Architecture and Systems with Emerging Technologies – Preface,"Preface to a special section introducing research topics on computer architecture and systems with emerging technologies, outlining included papers on memory hierarchies, cache design, GPU optimizations, and emerging computing paradigms.",computer architecture; emerging technologies; memory systems; GPUs,2016,Journal of Computer Science and Technology (Wen-Chung Chen),International,English,https://doi.org/10.1007/s11390-016-1697-4
10.1111/ecoj.12376,The Skill-Biased Effects of Exchange Rate Fluctuations,"Shows how exchange-rate movements shift firms’ skill demand; in Swiss manufacturing, appreciations raise high-skill and reduce low-skill employment.",exchange rates; skill-biased demand; trade exposure; labor,2016,Economic Journal (Kaiser; Siegenthaler),International,English,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ecoj.12376
10.1111/ecoj.12550,"Commuting and Taxes: Theory, Empirics and Welfare Implications",Interstate income-tax differences distort commuting; effects depend on residence- vs. employment-based taxation; sizeable impacts for affluent/mobile households.,taxes; commuting; urban economics; welfare,2018,Economic Journal (Agrawal et al.),International,English,https://onlinelibrary.wiley.com/doi/10.1111/ecoj.12550
10.1111/ecoj.12543,Labour Market Effects of International Trade When Mobility is Costly,Dynamic structural model with costly worker mobility and imperfectly transferable human capital; quantifies trade’s distributional labor-market impacts.,trade; labor mobility; human capital; structural model,2018,Economic Journal (Ashournia),International,English,https://onlinelibrary.wiley.com/doi/10.1111/ecoj.12543
10.1111/ecoj.12551,Higher Education and Prosperity: From Catholic Missionaries to Luminosity in India,IV strategy using historical missionary presence shows higher education raises local economic prosperity (night-lights) across Indian districts.,higher education; development; India; IV,2018,Economic Journal (Castelló-Climent; Chaudhary; Mukhopadhyay),International,English,https://onlinelibrary.wiley.com/doi/10.1111/ecoj.12551
10.1016/j.critrevonc.2019.01.001,Combination versus mono-therapy as salvage treatment for advanced biliary tract cancer,"Meta-analysis assessing second-line chemo for gallbladder cancers; compares response, survival, toxicity between combo and mono-therapy.",biliary tract cancer; chemotherapy; meta-analysis,2019,Crit Rev Oncol Hematol (Ying & Chen),International,English,https://doi.org/10.1016/j.critrevonc.2019.01.001
10.1186/s12911-019-0735-x,Temporal indexing of medical entity in Chinese clinical notes,Proposes RNN-CNN model to time-label medical entities in clinical text; achieves ~76% F1 in temporal relation classification.,medical NLP; temporal indexing; RNN; CNN,2019,BMC Med Inform Decis Mak (Liu et al.),International,English,https://doi.org/10.1186/s12911-019-0735-x
10.3982/ECTA12144,"Buy, Keep, or Sell: Economic Growth and the Market for Ideas","Endogenous growth model with idea trading between firms; examines when they develop, keep, or sell innovations and impact on growth.",endogenous growth; innovation; ideas market,2016,Econometrica (Akcigit et al.),International,English,https://doi.org/10.3982/ECTA12144
10.1080/1351847X.2019.1662822,Financial data science: the birth of a new financial research paradigm complementing econometrics?,Argues financial data science complements econometrics; warns about p-hacking with big data; calls for integrity and relevance.,financial data science; econometrics; research integrity,2019,Eur J Finance (Brooks et al.),International,English,https://doi.org/10.1080/1351847X.2019.1662822
10.1111/ecoj.12370,Living with low for long,Reviews causes and implications of prolonged global real interest rate decline.,real interest rates; macro; savings,2016,Economic Journal (Bean),International,English,https://doi.org/10.1111/ecoj.12370
10.1111/ecoj.12371,Equivalence versus Indifference Scales,Introduces indifference scales as an alternative to equivalence scales to improve income comparisons across family types.,equivalence scales; welfare metrics,2016,Economic Journal (Chiappori),International,English,https://doi.org/10.1111/ecoj.12371
10.1111/ecoj.12363,Life-cycle Labour Supply with Human Capital: Econometric and Behavioural Implications,Shows that labor supply elasticity depends on both preferences and human capital returns; human capital changes wage/time trade-off.,labour supply; human capital; lifecycle,2016,Economic Journal (Keane),International,English,https://doi.org/10.1111/ecoj.12363
10.1111/ecoj.12362,Labour Supply: The Roles of Human Capital and the Extensive Margin,Extends lifecycle labour supply model by including human capital and entry decision effects on responses to taxes.,labour supply; human capital; taxes,2016,Economic Journal (Keane & Wasi),International,English,https://doi.org/10.1111/ecoj.12362
10.1111/ecoj.12372,Market Set-up in Advance of Federal Reserve Policy Rate Decisions,Shows that futures markets anticipate FOMC decisions; macro news/testimonies affect market more than speeches.,monetary policy; futures markets; Fed,2016,Economic Journal (van Dijk et al.),International,English,https://doi.org/10.1111/ecoj.12372
